node_id,bus,load_element_count,complete_official_files,dss_vs_parquet_max_abs_error_kw,dss_vs_parquet_mean_abs_error_kw,dss_vs_parquet_corr,legacy_vs_dss_max_abs_error_kw,legacy_vs_parquet_max_abs_error_kw,legacy_vs_dss_corr,legacy_vs_parquet_corr
p10rlv29914,p10rlv29914,2,True,8.881784197001252e-16,6.010539605347951e-18,1.0,8.192371073385088,8.192371073385088,0.13356582800650443,0.13356582800650443
p10rlv30210,p10rlv30210,2,True,4.440892098500626e-16,2.8381343444862557e-18,0.9999999999999998,7.866545053626124,7.866545053626124,0.2934692659525801,0.2934692659525801
p10rlv30211,p10rlv30211,2,True,0.625691726509761,0.05039680561876698,0.9759348478593498,5.668052680087003,5.668052680087003,0.20503400521030635,0.20666645302306397
p10rlv3062,p10rlv3062,2,True,1.1102230246251565e-16,1.8725508206434575e-18,0.9999999999999999,1.3457237259720027,1.3457237259720027,0.0075742856186508,0.0075742856186508
p10rlv30788,p10rlv30788,2,True,8.881784197001252e-16,5.365444263413927e-17,1.0,7.385393034551946,7.385393034551946,-0.027732743423065767,-0.027732743423065778
p10rlv3393,p10rlv3393,2,True,8.881784197001252e-16,2.5540832766847565e-17,1.0,7.56009176281433,7.56009176281433,0.42755289568248805,0.42755289568248805
p10rlv3394,p10rlv3394,2,True,1.7763568394002505e-15,2.1336306643338483e-17,1.0,13.822145121319888,13.822145121319888,0.35940100928275565,0.35940100928275565
p10rlv3936,p10rlv3936,2,True,4.440892098500626e-16,9.13700241798743e-18,1.0,8.340639354642011,8.340639354642011,-0.02416090549672235,-0.024160905496722365
p10rlv4224,p10rlv4224,2,True,4.440892098500626e-16,1.5628353507316167e-18,0.9999999999999999,7.080365895983388,7.080365895983388,0.06876681629239122,0.06876681629239122
p10rlv4862,p10rlv4862,2,True,1.7763568394002505e-15,3.619868864322562e-16,0.9999999999999999,12.513806564904263,12.513806564904261,0.21888586670926186,0.218885866709262
p10rlv5170,p10rlv5170,2,True,4.440892098500626e-16,8.698964937523879e-18,1.0,6.5945340075190435,6.5945340075190435,0.33923947662122833,0.33923947662122833
p10rlv5780,p10rlv5780,2,True,8.881784197001252e-16,2.3506691266250103e-17,1.0,7.911452962128864,7.911452962128864,0.2156181117343076,0.2156181117343076
p10rlv5781,p10rlv5781,2,True,4.440892098500626e-16,9.346911879692385e-20,1.0,13.27889701735298,13.27889701735298,0.381241541187844,0.381241541187844
p10rlv6371,p10rlv6371,2,True,8.881784197001252e-16,3.2012381076770174e-17,1.0,8.51064951575717,8.51064951575717,0.25043377280193607,0.2504337728019361
p10rlv6373,p10rlv6373,2,True,4.440892098500626e-16,5.549530900773293e-18,1.0,7.122400910240061,7.122400910240061,-0.03186590346261841,-0.03186590346261841
